L,N,dx,b,sample,delta,pin_height,area,radius,wrap
12.0,48,0.25,1.2,206,0.25,1.45,1.5,2.1505813167606567,0.0
12.0,48,0.25,1.2,207,0.25,1.45,6.0625,3.25,0.0
12.0,48,0.25,1.2,208,0.25,1.45,6.1875,2.704163456597992,0.0
12.0,48,0.25,1.2,209,0.25,1.45,9.625,5.367727638395972,0.0
12.0,48,0.25,1.2,210,0.25,1.45,3.8125,1.8200274723201295,0.0
12.0,48,0.25,1.2,211,0.25,1.45,5.8125,3.400367627183861,0.0
12.0,48,0.25,1.2,212,0.25,1.45,1.4375,1.0307764064044151,0.0
12.0,48,0.25,1.2,213,0.25,1.45,2.8125,1.4577379737113252,0.0
12.0,48,0.25,1.2,214,0.25,1.45,3.0625,2.5,0.0
12.0,48,0.25,1.2,215,0.25,1.45,9.9375,4.6097722286464435,0.0
12.0,48,0.25,1.2,216,0.25,1.45,10.3125,6.408002808988148,0.0
12.0,48,0.25,1.2,217,0.25,1.45,3.1875,1.7677669529663689,0.0
12.0,48,0.25,1.2,218,0.25,1.45,4.875,2.1213203435596424,0.0
12.0,48,0.25,1.2,219,0.25,1.45,23.9375,7.211102550927978,0.0
12.0,48,0.25,1.2,220,0.25,1.45,4.75,3.0516389039334255,0.0
12.0,48,0.25,1.2,221,0.25,1.45,2.875,2.3048861143232218,0.0
12.0,48,0.25,1.2,222,0.25,1.45,1.875,1.25,0.0
12.0,48,0.25,1.2,223,0.25,1.45,2.875,1.7677669529663689,0.0
12.0,48,0.25,1.2,224,0.25,1.45,3.875,2.3048861143232218,0.0
12.0,48,0.25,1.2,225,0.25,1.45,7.5,4.802343178074636,0.0
12.0,48,0.25,1.2,226,0.25,1.45,6.375,3.25,0.0
12.0,48,0.25,1.2,227,0.25,1.45,2.0625,2.23606797749979,0.0
12.0,48,0.25,1.2,228,0.25,1.45,6.125,3.824264635194589,0.0
12.0,48,0.25,1.2,229,0.25,1.45,17.5625,7.5,0.0
12.0,48,0.25,1.2,230,0.25,1.45,5.9375,2.7613402542968153,0.0
12.0,48,0.25,1.2,231,0.25,1.45,7.125,3.553167600887974,0.0
12.0,48,0.25,1.2,232,0.25,1.45,6.5,2.9261749776799064,0.0
12.0,48,0.25,1.2,233,0.25,1.45,1.0,0.9013878188659973,0.0
12.0,48,0.25,1.2,234,0.25,1.45,3.875,1.6770509831248424,0.0
12.0,48,0.25,1.2,235,0.25,1.45,13.25,6.708203932499369,0.0
12.0,48,0.25,1.2,236,0.25,1.45,10.625,4.5069390943299865,0.0
12.0,48,0.25,1.2,237,0.25,1.45,2.1875,1.4577379737113252,0.0
12.0,48,0.25,1.2,238,0.25,1.45,2.6875,1.8027756377319946,0.0
12.0,48,0.25,1.2,239,0.25,1.45,7.875,4.6097722286464435,0.0
12.0,48,0.25,1.2,240,0.25,1.45,6.875,3.010398644698074,0.0
12.0,48,0.25,1.2,241,0.25,1.45,9.0625,3.7165171868296265,0.0
12.0,48,0.25,1.2,242,0.25,1.45,21.4375,7.211102550927978,0.0
12.0,48,0.25,1.2,243,0.25,1.45,13.375,4.100304866714182,0.0
12.0,48,0.25,1.2,244,0.25,1.45,7.75,4.596194077712559,0.0
12.0,48,0.25,1.2,245,0.25,1.45,3.5625,2.9154759474226504,0.0
12.0,48,0.25,1.2,246,0.25,1.45,8.3125,4.716990566028302,0.0
12.0,48,0.25,1.2,247,0.25,1.45,3.375,2.0615528128088303,0.0
12.0,48,0.25,1.2,248,0.25,1.45,7.625,3.905124837953327,0.0
12.0,48,0.25,1.2,249,0.25,1.45,2.875,2.0155644370746373,0.0
12.0,48,0.25,1.2,250,0.25,1.45,5.25,2.5,0.0
12.0,48,0.25,1.2,251,0.25,1.45,5.625,2.704163456597992,0.0
12.0,48,0.25,1.2,252,0.25,1.45,3.625,2.5495097567963922,0.0
12.0,48,0.25,1.2,253,0.25,1.45,2.25,2.57390753524675,0.0
12.0,48,0.25,1.2,254,0.25,1.45,1.75,1.5811388300841898,0.0
12.0,48,0.25,1.2,255,0.25,1.45,0.8125,0.7905694150420949,0.0
12.0,48,0.25,1.2,256,0.25,1.45,1.75,1.6007810593582121,0.0
12.0,48,0.25,1.2,257,0.25,1.45,1.25,1.0606601717798212,0.0
12.0,48,0.25,1.2,258,0.25,1.45,11.875,5.25594901040716,0.0
12.0,48,0.25,1.2,259,0.25,1.45,1.3125,0.9013878188659973,0.0
12.0,48,0.25,1.2,260,0.25,1.45,6.5,4.031128874149275,0.0
12.0,48,0.25,1.2,261,0.25,1.45,14.3125,4.8541219597369,0.0
12.0,48,0.25,1.2,262,0.25,1.45,2.0625,1.4142135623730951,0.0
12.0,48,0.25,1.2,263,0.25,1.45,11.3125,5.460082416960389,0.0
12.0,48,0.25,1.2,264,0.25,1.45,31.6875,6.823672031978091,1.0
12.0,48,0.25,1.2,265,0.25,1.45,26.8125,7.00446286306095,0.0
12.0,48,0.25,1.2,266,0.25,1.45,2.5,1.9039432764659772,0.0
12.0,48,0.25,1.2,267,0.25,1.45,7.375,2.704163456597992,0.0
12.0,48,0.25,1.2,268,0.25,1.45,3.625,1.9525624189766635,0.0
12.0,48,0.25,1.2,269,0.25,1.45,22.75,6.5,0.0
12.0,48,0.25,1.2,270,0.25,1.45,5.125,2.462214450449026,0.0
12.0,48,0.25,1.2,271,0.25,1.45,1.875,1.346291201783626,0.0
12.0,48,0.25,1.2,272,0.25,1.45,18.75,7.5,0.0
12.0,48,0.25,1.2,273,0.25,1.45,5.1875,3.2596012026013246,0.0
12.0,48,0.25,1.2,274,0.25,1.45,1.875,1.118033988749895,0.0
12.0,48,0.25,1.2,275,0.25,1.45,6.875,4.422951503238533,0.0
12.0,48,0.25,1.2,276,0.25,1.45,1.75,1.5811388300841898,0.0
12.0,48,0.25,1.2,277,0.25,1.45,15.125,6.408002808988148,0.0
12.0,48,0.25,1.2,278,0.25,1.45,6.5,2.6100766272276377,0.0
12.0,48,0.25,1.2,279,0.25,1.45,2.3125,1.5,0.0
12.0,48,0.25,1.2,280,0.25,1.45,24.25,6.25,0.0
12.0,48,0.25,1.2,281,0.25,1.45,2.75,1.9039432764659772,0.0
12.0,48,0.25,1.2,282,0.25,1.45,5.3125,2.3048861143232218,0.0
12.0,48,0.25,1.2,283,0.25,1.45,6.0,2.7613402542968153,0.0
12.0,48,0.25,1.2,284,0.25,1.45,1.5625,1.2747548783981961,0.0
12.0,48,0.25,1.2,285,0.25,1.45,2.5625,1.5811388300841898,0.0
12.0,48,0.25,1.2,286,0.25,1.45,1.375,1.25,0.0
12.0,48,0.25,1.2,287,0.25,1.45,2.5625,1.4577379737113252,0.0
12.0,48,0.25,1.2,288,0.25,1.45,12.125,4.190763653560053,0.0
12.0,48,0.25,1.2,289,0.25,1.45,17.9375,6.600189391222043,0.0
12.0,48,0.25,1.2,290,0.25,1.45,18.3125,6.604922406811453,0.0
12.0,48,0.25,1.2,291,0.25,1.45,6.3125,3.1622776601683795,0.0
12.0,48,0.25,1.2,292,0.25,1.45,15.6875,3.5794552658190883,0.0
12.0,48,0.25,1.2,293,0.25,1.45,13.5,3.75,0.0
12.0,48,0.25,1.2,294,0.25,1.45,1.25,1.118033988749895,0.0
12.0,48,0.25,1.2,295,0.25,1.45,1.125,1.0,0.0
12.0,48,0.25,1.2,296,0.25,1.45,2.6875,1.6007810593582121,0.0
12.0,48,0.25,1.2,297,0.25,1.45,6.3125,4.0697051490249265,0.0
12.0,48,0.25,1.2,298,0.25,1.45,7.4375,3.2596012026013246,0.0
12.0,48,0.25,1.2,299,0.25,1.45,0.9375,0.7905694150420949,0.0
12.0,48,0.25,0.8,0,0.25,1.05,17.5,6.324555320336759,0.0
12.0,48,0.25,0.8,1,0.25,1.05,7.125,3.824264635194589,0.0
12.0,48,0.25,0.8,2,0.25,1.05,22.4375,4.743416490252569,0.0
12.0,48,0.25,0.8,3,0.25,1.05,47.1875,7.652613932506983,0.0
12.0,48,0.25,0.8,4,0.25,1.05,26.625,5.618051263561058,0.0
12.0,48,0.25,0.8,5,0.25,1.05,10.25,3.020761493398643,0.0
12.0,48,0.25,0.8,6,0.25,1.05,8.5625,2.23606797749979,0.0
12.0,48,0.25,0.8,7,0.25,1.05,2.4375,1.346291201783626,0.0
12.0,48,0.25,0.8,8,0.25,1.05,5.5625,2.462214450449026,0.0
12.0,48,0.25,0.8,9,0.25,1.05,25.3125,6.373774391990981,0.0
12.0,48,0.25,0.8,10,0.25,1.05,3.25,2.7613402542968153,0.0
12.0,48,0.25,0.8,11,0.25,1.05,37.75,7.810249675906654,0.0
12.0,48,0.25,0.8,12,0.25,1.05,4.875,2.7950849718747373,0.0
12.0,48,0.25,0.8,13,0.25,1.05,24.875,6.324555320336759,0.0
12.0,48,0.25,0.8,14,0.25,1.05,5.3125,3.5355339059327378,0.0
12.0,48,0.25,0.8,15,0.25,1.05,2.25,1.8200274723201295,0.0
12.0,48,0.25,0.8,16,0.25,1.05,3.875,2.7613402542968153,0.0
12.0,48,0.25,0.8,17,0.25,1.05,6.375,4.123105625617661,0.0
12.0,48,0.25,0.8,18,0.25,1.05,4.25,2.1505813167606567,0.0
